VRP,GUILDFORD RAILWAY STATION,GUILDFORD RAILWAY STATION,51.237222,-0.581389
VRP,HALE HEAD LIGHTHOUSE,HALE HEAD LIGHTHOUSE,53.3225,-2.794444
VRP,HANDCROSS,HANDCROSS,51.052778,-0.202222
VRP,HANGAR 12,HANGAR 12,51.885556,0.222222
VRP,HANOIS LIGHTHOUSE,HANOIS LIGHTHOUSE,49.435,-2.7025
VRP,HARDWICK HALL,HARDWICK HALL,54.6575,-1.465833
VRP,HARROGATE (HGT) RAILWAY STATION,HARROGATE (HGT) RAILWAY STATION,53.9925,-1.5375
VRP,HARTLEPOOL MARINA,HARTLEPOOL MARINA,54.691667,-1.199167
VRP,HAVERHILL,HAVERHILL,52.0825,0.434444
VRP,HAXEY,HAXEY,53.490278,-0.843611
VRP,HAYWARDS HEATH,HAYWARDS HEATH,51.0075,-0.096111
VRP,HAZELEND WOOD,HAZELEND WOOD,51.894133,0.170847
VRP,HEADS OF AYR,HEADS OF AYR,55.432778,-4.713056
VRP,HEATON INTERCHANGE,HEATON INTERCHANGE,53.55,-2.261111
VRP,HEAUVILLE,HEAUVILLE,49.583056,-1.801944
VRP,HELSBY HILL,HELSBY HILL,53.273419,-2.763233
VRP,HENGISTBURY HEAD,HENGISTBURY HEAD,50.711944,-1.748889
VRP,HERM ISLAND,HERM ISLAND,49.471686,-2.448739
VRP,HETHEL (DISUSED AD),HETHEL (DISUSED AD),52.5625,1.175
VRP,HEXHAM,HEXHAM,54.970833,-2.102778
VRP,HILLEND SKI SLOPE,HILLEND SKI SLOPE,55.888333,-3.208333
VRP,HILLTOP,HILLTOP,53.341667,-2.174167
VRP,HOOK RAILWAY STATION,HOOK RAILWAY STATION,51.279444,-0.961944
VRP,HULTON INDUSTRIAL ESTATE,HULTON INDUSTRIAL ESTATE,53.535078,-2.451267
VRP,HURST CASTLE,HURST CASTLE,50.708056,-1.550278
VRP,HYDE,HYDE,51.844167,-0.366111
VRP,HYNISH BAY,HYNISH BAY,56.484444,-6.879167
VRP,IMMINGHAM DOCKS,IMMINGHAM DOCKS,53.628333,-0.193333
VRP,INSCH,INSCH,57.342778,-2.614167
VRP,INSKIP (DISUSED AD),INSKIP (DISUSED AD),53.827222,-2.834167
VRP,INVERGORDON PORT,INVERGORDON PORT,57.685,-4.173333
VRP,INVERKIP POWER STATION,INVERKIP POWER STATION,55.898333,-4.886667
VRP,IRLAM BRIDGE,IRLAM BRIDGE,53.438889,-2.413056
VRP,IRVINE HARBOUR,IRVINE HARBOUR,55.610833,-4.698611
VRP,JAGUAR CAR FACTORY,JAGUAR CAR FACTORY,53.353517,-2.835778
VRP,JODRELL BANK,JODRELL BANK,53.236389,-2.309167
VRP,KEISS VILLAGE,KEISS VILLAGE,58.533333,-3.123333
VRP,KESWICK ROUNDABOUT,KESWICK ROUNDABOUT,52.588056,1.275
VRP,KIDBROOKE FLATS,KIDBROOKE FLATS,51.461469,0.026856
VRP,KILMACOLM,KILMACOLM,55.894444,-4.6275
VRP,KILMARNOCK RAILWAY STATION,KILMARNOCK RAILWAY STATION,55.6125,-4.498333
VRP,KIMPTON HALL,KIMPTON HALL,51.845833,-0.296667
VRP,KINGSTON BRIDGE,KINGSTON BRIDGE,55.856111,-4.269722
VRP,KINLOSS (DISUSED AD),KINLOSS (DISUSED AD),57.649167,-3.561667
VRP,KIRKBY,KIRKBY,53.48,-2.881667
VRP,KIRKCALDY HARBOUR,KIRKCALDY HARBOUR,56.113889,-3.15
VRP,KIRKNEWTON,KIRKNEWTON,55.8875,-3.418056
VRP,LACEBY CROSSROADS,LACEBY CROSSROADS,53.535278,-0.180278
VRP,LAMALOAD RESERVOIR,LAMALOAD RESERVOIR,53.272222,-2.0425
VRP,LAMB HOLM ISLAND,LAMB HOLM ISLAND,58.887222,-2.893333
VRP,LARNE,LARNE,54.853333,-5.825278
VRP,LAVERNOCK POINT,LAVERNOCK POINT,51.406389,-3.170556
VRP,LAXEY HARBOUR,LAXEY HARBOUR,54.225278,-4.389444
VRP,LECHLADE,LECHLADE,51.693333,-1.69
VRP,LEIGH FLASH,LEIGH FLASH,53.489722,-2.559722
VRP,LENWADE LAKES,LENWADE LAKES,52.718611,1.1025
VRP,LES LANDES RACECOURSE,LES LANDES RACECOURSE,49.253056,-2.245833
VRP,LETTERKENNY CATHEDRAL,LETTERKENNY CATHEDRAL,54.950556,-7.74
VRP,LEWES INTERSECTION (A27(T)/A26),LEWES INTERSECTION (A27(T)/A26),50.864444,0.024167
VRP,LICHFIELD CITY RAILWAY JUNCTION,LICHFIELD CITY RAILWAY JUNCTION,52.686111,-1.798611
VRP,LIFFORD BRIDGE,LIFFORD BRIDGE,54.831389,-7.480833
VRP,LITTLEHAMPTON,LITTLEHAMPTON,50.812778,-0.546389
VRP,LLANDEGFEDD RESERVOIR,LLANDEGFEDD RESERVOIR,51.691589,-2.970697
VRP,LOCH WATTEN,LOCH WATTEN,58.483333,-3.335
VRP,LOCHINDORB,LOCHINDORB,57.402778,-3.715833
VRP,LOCHMADDY PIER,LOCHMADDY PIER,57.596111,-7.156667
VRP,LONDON EYE,LONDON EYE,51.503478,-0.119847
VRP,LONDON GATEWAY PORT,LONDON GATEWAY PORT,51.504722,0.503056
VRP,LONDON STADIUM,LONDON STADIUM,51.538456,-0.016483
VRP,LONGANNET POWER STATION,LONGANNET POWER STATION,56.048889,-3.6825
VRP,LUSSA LOCH,LUSSA LOCH,55.510556,-5.628611
VRP,LYBSTER VILLAGE,LYBSTER VILLAGE,58.3,-3.285
VRP,M1 JUNCTION 22 (MARKFIELD),M1 JUNCTION 22 (MARKFIELD),52.695556,-1.2925
VRP,M1 JUNCTION 8,M1 JUNCTION 8,51.756111,-0.416111
VRP,M1 JUNCTION 9,M1 JUNCTION 9,51.820278,-0.418056
VRP,M1/A1(M) JUNCTION,M1/A1(M) JUNCTION,53.814375,-1.340353
VRP,M1/M18 THURCROFT INTERCHANGE,M1/M18 THURCROFT INTERCHANGE,53.392778,-1.278611
VRP,M11 JUNCTION 4,M11 JUNCTION 4,51.593889,0.036944
